1,Afghanistan
2,Aland
3,Albania
4,Algeria
5,American Samoa
6,Andorra
7,Angola
8,Antarctica
9,Antigua and Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Australia
14,Austria
15,Azerbaijan
16,Bahrain
17,Bangladesh
18,Barbados
19,Belarus
20,Belgium
21,Belize
22,Benin
23,Bermuda
24,Bhutan
25,Bolivia
26,Bosnia and Herzegovina
27,Botswana
28,Brazil
29,Brunei
30,Bulgaria
31,Burkina Faso
32,Burundi
33,Cambodia
34,Cameroon
35,Canada
36,Cape Verde
37,Cayman Islands
38,Central African Republic
39,Chad
40,Chile
41,China
42,Colombia
43,Comoros
44,Congo (Brazzaville)
45,Congo (Kinshasa)
46,Cook Islands
47,Costa Rica
48,Croatia
49,Cuba
50,Curacao
51,Cyprus
52,Czech Republic
53,Denmark
54,Djibouti
55,Dominica
56,Dominican Republic
57,East Timor
58,Ecuador
59,Egypt
60,El Salvador
61,Equatorial Guinea
62,Eritrea
63,Estonia
64,Ethiopia
65,Falkland Islands
66,Faroe Islands
67,Federated States of Micronesia
68,Fiji
69,Finland
70,France
71,French Polynesia
72,Gabon
73,Georgia
74,Germany
75,Ghana
76,Gibraltar
77,Greece
78,Greenland
79,Grenada
80,Guam
81,Guatemala
82,Guinea
83,Guinea Bissau
84,Guyana
85,Haiti
86,Honduras
87,Hong Kong S.A.R.
88,Hungary
89,Iceland
90,India
91,Indonesia
92,Iran
93,Iraq
94,Ireland
95,Isle of Man
96,Israel
97,Italy
98,Ivory Coast
99,Jamaica
100,Japan
101,Jordan
102,Kazakhstan
103,Kenya
104,Kiribati
105,Kosovo
106,Kuwait
107,Kyrgyzstan
108,Laos
109,Latvia
110,Lebanon
111,Lesotho
112,Liberia
113,Libya
114,Liechtenstein
115,Lithuania
116,Luxembourg
117,Macau S.A.R
118,Macedonia
119,Madagascar
120,Malawi
121,Malaysia
122,Maldives
123,Mali
124,Malta
125,Marshall Islands
126,Mauritania
127,Mauritius
128,Mexico
129,Moldova
130,Monaco
131,Mongolia
132,Montenegro
133,Morocco
134,Mozambique
135,Myanmar
136,Namibia
137,Nepal
138,Netherlands
139,New Caledonia
140,New Zealand
141,Nicaragua
142,Niger
143,Nigeria
144,North Korea
145,Northern Cyprus
146,Northern Mariana Islands
147,Norway
148,Oman
149,Pakistan
150,Palau
151,Palestine
152,Panama
153,Papua New Guinea
154,Paraguay
155,Peru
156,Philippines
157,Poland
158,Portugal
159,Puerto Rico
160,Qatar
161,Romania
162,Russia
163,Rwanda
164,Saint Kitts and Nevis
165,Saint Lucia
166,Saint Vincent and the Grenadines
167,Samoa
168,San Marino
169,Sao Tome and Principe
170,Saudi Arabia
171,Senegal
172,Serbia
173,Seychelles
174,Sierra Leone
175,Singapore
176,Slovakia
177,Slovenia
178,Solomon Islands
179,Somalia
180,Somaliland
181,South Africa
182,South Georgia and the Islands
183,South Korea
184,South Sudan
185,Spain
186,Sri Lanka
187,Sudan
188,Suriname
189,Svalbard and Jan Mayen Islands
190,Swaziland
191,Sweden
192,Switzerland
193,Syria
194,Taiwan
195,Tajikistan
196,Tanzania
197,Thailand
198,The Bahamas
199,The Gambia
200,Togo
201,Tonga
202,Trinidad and Tobago
203,Tunisia
204,Turkey
205,Turkmenistan
206,Turks and Caicos Islands
207,Tuvalu
208,Uganda
209,Ukraine
210,United Arab Emirates
211,United Kingdom
212,United States of America
213,United States Virgin Islands
214,Uruguay
215,Uzbekistan
216,Vanuatu
217,Vatican (Holy Sea)
218,Venezuela
219,Vietnam
220,Western Sahara
221,Yemen
222,Zambia
223,Zimbabwe
